Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,2/1/2008,0,6/18/2008,1319,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
2.008E+13,2/1/2008,0,4/30/2008,1027,MOTOR VEHICLE THEFT,VEH-THEFT-HVYEQUIP,SOUTH,O,O2,SODO
2.008E+13,2/1/2008,0,6/16/2008,1247,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R3,LAKEWOOD/SEWARD PARK
2.008E+12,2/1/2008,0,2/18/2008,1317,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NORTH BEACON HILL
2.014E+12,2/1/2008,0,3/25/2014,1017,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q1,MAGNOLIA
2.008E+13,2/1/2008,0,12/8/2008,1100,CAR PROWL,THEFT-AUTOACC,NORTH,L,L3,LAKECITY
2.008E+13,2/1/2008,0,12/8/2008,1653,CAR PROWL,THEFT-LICENSE PLATE,NORTH,L,L1,LAKECITY
2.009E+12,2/1/2008,1,2/17/2009,1828,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M2,SLU/CASCADE
2.008E+12,2/1/2008,1,2/1/2008,1050,CAR PROWL,THEFT-AUTOACC,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+12,2/1/2008,1,3/10/2008,1116,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,CAPITOL HILL
2.008E+12,2/1/2008,1,2/19/2008,1544,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NORTH ADMIRAL
2.008E+12,2/1/2008,1,2/4/2008,1539,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K2,PIONEER SQUARE
2.008E+13,2/1/2008,1,6/11/2008,1715,CAR PROWL,THEFT-CARPROWL,WEST,M,M3,DOWNTOWN COMMERCIAL
2.008E+12,2/1/2008,56,2/1/2008,100,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,L,L2,NORTHGATE
2.008E+12,2/1/2008,59,2/1/2008,59,THEFT-ALL OTHER,THEFT-COINOP,EAST,E,E3,FIRST HILL
2.008E+12,2/1/2008,100,2/1/2008,2208,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q3,QUEEN ANNE
2.008E+12,2/1/2008,130,2/1/2008,1518,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNIVERSITY
2.008E+12,2/1/2008,200,2/1/2008,1148,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U1,UNIVERSITY
2.008E+12,2/1/2008,445,2/1/2008,648,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,W,W2,ALASKA JUNCTION
2.008E+12,2/1/2008,600,2/1/2008,1559,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S2,BRIGHTON/DUNLAP
2.008E+12,2/1/2008,750,2/1/2008,1800,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G1,FIRST HILL
2.008E+12,2/1/2008,800,2/6/2008,1724,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U1,UNIVERSITY
2.008E+12,2/1/2008,800,2/1/2008,819,,BURGLARY-OTHER,SOUTH,S,S1,NEW HOLLY
2.008E+12,2/1/2008,800,2/1/2008,1807,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2.008E+12,2/1/2008,800,2/1/2008,2112,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,D,D2,QUEEN ANNE
2.008E+12,2/1/2008,800,2/1/2008,1906,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L1,LAKECITY
2.008E+12,2/1/2008,800,2/1/2008,1545,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,O,O3,GEORGETOWN
2.008E+12,2/1/2008,800,2/25/2008,1540,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G1,FIRST HILL
2.008E+12,2/1/2008,815,2/1/2008,1848,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U1,ROOSEVELT/RAVENNA
2.008E+12,2/1/2008,1000,2/1/2008,1644,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S1,NEW HOLLY
2.008E+12,2/1/2008,1030,2/1/2008,1336,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
