Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000707,1/1/2018,0,1/1/2018,1500,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,ALASKA JUNCTION
2.018E+11,`,0,1/6/2018,1725,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q3,QUEEN ANNE
2.018E+12,1/1/2018,0,3/5/2018,1021,THEFT-ALL OTHER,THEFT-MAIL,SOUTH,S,S2,BRIGHTON/DUNLAP
2.018E+12,1/1/2018,0,1/4/2018,1600,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH
2.018E+13,1/1/2018,0,9/17/2018,1605,THEFT-BUILDING,THEFT-BUILDING,NORTH,J,J1,BALLARD NORTH
2.018E+13,1/1/2018,0,8/31/2018,1801,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J3,ROOSEVELT/RAVENNA
2.018E+13,1/1/2018,0,1/1/2018,1041,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,BELLTOWN
2.018E+13,1/1/2018,1,5/17/2018,1251,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,GEORGETOWN
20180000778,1/1/2018,1,1/1/2018,1757,THEFT-ALL OTHER,THEFT-MAIL,NORTH,U,U1,UNIVERSITY
2.018E+13,1/1/2018,1,4/28/2018,1220,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L3,SANDPOINT
2.018E+13,1/1/2018,1,4/2/2018,1555,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
2.018E+13,1/1/2018,40,1/1/2018,1904,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
2.018E+12,1/1/2018,100,1/22/2018,1626,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E2,CAPITOL HILL
20180000897,1/1/2018,100,1/1/2018,1821,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
2.018E+11,1/1/2018,100,1/2/2018,1658,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
20180000391,1/1/2018,100,1/1/2018,849,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,D,D1,BELLTOWN
2.018E+13,1/1/2018,100,1/2/2018,959,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,BELLTOWN
20180000536,1/1/2018,103,1/1/2018,1216,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,Q,Q3,QUEEN ANNE
20180000197,1/1/2018,135,1/1/2018,211,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
20180000186,1/1/2018,139,1/1/2018,139,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E2,CAPITOL HILL
20180000309,1/1/2018,140,1/1/2018,432,ROBBERY-STREET,ROBBERY-STREET-WEAPON,EAST,E,E2,CAPITOL HILL
20180000441,1/1/2018,200,1/1/2018,1022,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U2,UNIVERSITY
20180000240,1/1/2018,249,1/1/2018,249,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,S,S2,BRIGHTON/DUNLAP
20180000278,1/1/2018,334,1/1/2018,334,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-WEAPON,EAST,C,C2,MADISON PARK
20180000333,1/1/2018,415,1/1/2018,530,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W2,ALASKA JUNCTION
2.018E+11,1/1/2018,507,1/7/2018,507,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E1,CAPITOL HILL
2.018E+12,1/1/2018,800,1/17/2018,1451,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U3,SANDPOINT
2.018E+13,1/1/2018,830,1/1/2018,1834,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,CAPITOL HILL
20180000424,1/1/2018,955,1/1/2018,955,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F1,HIGHLAND PARK
2.018E+12,1/1/2018,1000,1/13/2018,1607,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20180000590,1/1/2018,1000,1/1/2018,1305,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L2,NORTHGATE
2.018E+11,1/1/2018,1022,1/2/2018,1022,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,PIONEER SQUARE
2.018E+13,1/1/2018,1030,1/11/2018,1810,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000455,1/1/2018,1034,1/1/2018,1034,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B2,FREMONT
20180000917,1/1/2018,1045,1/1/2018,1859,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S3,RAINIER VIEW
20180000477,1/1/2018,1110,1/1/2018,1110,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000484,1/1/2018,1129,1/1/2018,1129,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
20180000489,1/1/2018,1130,1/1/2018,1302,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,EAST,G,G3,MADRONA/LESCHI
2.018E+13,1/1/2018,1130,1/5/2018,1910,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N3,GREENWOOD
2.018E+12,1/1/2018,1135,1/19/2018,1135,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
20180000912,1/1/2018,1200,1/9/2018,1347,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
2.018E+13,1/1/2018,1200,5/15/2018,1545,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
2.018E+13,1/1/2018,1215,1/31/2018,1225,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U3,SANDPOINT
20180000564,1/1/2018,1220,1/3/2018,1957,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
