Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000707,01/01/2018,0,01/01/2018,1500,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,ALASKA JUNCTION
201800007031,01/01/2018,0,01/06/2018,1725,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q3,QUEEN ANNE
2018000079405,01/01/2018,0,03/05/2018,1021,THEFT-ALL OTHER,THEFT-MAIL,SOUTH,S,S2,BRIGHTON/DUNLAP
2018000011792,01/01/2018,0,01/04/2018,1600,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH
20180000347660,01/01/2018,0,09/17/2018,1605,THEFT-BUILDING,THEFT-BUILDING,NORTH,J,J1,BALLARD NORTH
20180000325252,01/01/2018,0,08/31/2018,1801,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J3,ROOSEVELT/RAVENNA
20180000900003,01/01/2018,0,01/01/2018,1041,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,BELLTOWN
20180000176619,01/01/2018,1,05/17/2018,1251,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,GEORGETOWN
20180000778,01/01/2018,1,01/01/2018,1757,THEFT-ALL OTHER,THEFT-MAIL,NORTH,U,U1,UNIVERSITY
20180000149888,01/01/2018,1,04/28/2018,1220,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L3,SANDPOINT
20180000115889,01/01/2018,1,04/02/2018,1555,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
20180000900134,01/01/2018,40,01/01/2018,1904,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
2018000026803,01/01/2018,100,01/22/2018,1626,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E2,CAPITOL HILL
20180000897,01/01/2018,100,01/01/2018,1821,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
201800001822,01/01/2018,100,01/02/2018,1658,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
20180000391,01/01/2018,100,01/01/2018,849,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,D,D1,BELLTOWN
20180000900029,01/01/2018,100,01/02/2018,959,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D1,BELLTOWN
20180000536,01/01/2018,103,01/01/2018,1216,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,Q,Q3,QUEEN ANNE
20180000197,01/01/2018,135,01/01/2018,211,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
20180000186,01/01/2018,139,01/01/2018,139,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E2,CAPITOL HILL
20180000309,01/01/2018,140,01/01/2018,432,ROBBERY-STREET,ROBBERY-STREET-WEAPON,EAST,E,E2,CAPITOL HILL
20180000441,01/01/2018,200,01/01/2018,1022,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U2,UNIVERSITY
20180000240,01/01/2018,249,01/01/2018,249,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,S,S2,BRIGHTON/DUNLAP
20180000278,01/01/2018,334,01/01/2018,334,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-WEAPON,EAST,C,C2,MADISON PARK
20180000333,01/01/2018,415,01/01/2018,530,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W2,ALASKA JUNCTION
201800007732,01/01/2018,507,01/07/2018,507,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E1,CAPITOL HILL
2018000020606,01/01/2018,800,01/17/2018,1451,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U3,SANDPOINT
20180000900012,01/01/2018,830,01/01/2018,1834,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,CAPITOL HILL
20180000424,01/01/2018,955,01/01/2018,955,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F1,HIGHLAND PARK
2018000015698,01/01/2018,1000,01/13/2018,1607,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20180000590,01/01/2018,1000,01/01/2018,1305,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L2,NORTHGATE
201800001420,01/01/2018,1022,01/02/2018,1022,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,PIONEER SQUARE
20180000900385,01/01/2018,1030,01/11/2018,1810,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000455,01/01/2018,1034,01/01/2018,1034,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B2,FREMONT
20180000917,01/01/2018,1045,01/01/2018,1859,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S3,RAINIER VIEW
20180000477,01/01/2018,1110,01/01/2018,1110,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000484,01/01/2018,1129,01/01/2018,1129,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
20180000489,01/01/2018,1130,01/01/2018,1302,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,EAST,G,G3,MADRONA/LESCHI
20180000900182,01/01/2018,1130,01/05/2018,1910,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N3,GREENWOOD
2018000022884,01/01/2018,1135,01/19/2018,1135,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
20180000912,01/01/2018,1200,01/09/2018,1347,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
20180000173921,01/01/2018,1200,05/15/2018,1545,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
20180000901023,01/01/2018,1215,01/31/2018,1225,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U3,SANDPOINT
20180000564,01/01/2018,1220,01/03/2018,1957,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000662,01/01/2018,1250,01/01/2018,1512,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000747,01/01/2018,1300,01/01/2018,1435,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M2,DOWNTOWN COMMERCIAL
20180000189855,01/01/2018,1300,05/26/2018,1512,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L1,LAKECITY
201800001764,01/01/2018,1400,01/02/2018,1405,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L1,LAKECITY
