Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.018E+12,2/1/18,0,3/1/18,1745,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
2.018E+12,2/1/18,1,2/28/18,2211,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2.018E+12,2/1/18,1,2/2/18,715,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,F,F1,COMMERCIAL DUWAMISH
2.018E+13,2/1/18,1,6/28/18,907,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.018E+12,2/1/18,1,3/3/18,1900,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2.018E+13,2/1/18,1,4/19/18,1651,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL
2.018E+12,2/1/18,28,2/1/18,28,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,L,L1,LAKECITY
2.018E+12,2/1/18,100,2/1/18,1743,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
2.018E+12,2/1/18,200,2/5/18,1111,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B3,FREMONT
2.018E+12,2/1/18,400,2/1/18,830,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B1,BALLARD SOUTH
2.018E+12,2/1/18,600,2/1/18,1556,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S1,MID BEACON HILL
2.018E+12,2/1/18,600,2/3/18,1339,THEFT-BICYCLE,THEFT-BICYCLE,WEST,K,K2,PIONEER SQUARE
2.018E+12,2/1/18,620,2/1/18,634,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N3,NORTHGATE
2.018E+13,2/1/18,645,2/1/18,1118,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F2,SOUTH DELRIDGE
2.018E+12,2/1/18,700,2/1/18,1610,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L3,SANDPOINT
2.018E+12,2/1/18,700,2/2/18,1153,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,E,E3,CAPITOL HILL
2.018E+12,2/1/18,700,2/2/18,1808,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,SOUTH,R,R3,HILLMAN CITY
2.018E+13,2/1/18,726,2/8/18,1409,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N2,BITTERLAKE
2.018E+13,2/1/18,750,2/23/18,809,THEFT-BICYCLE,THEFT-BICYCLE,WEST,D,D1,SLU/CASCADE
2.018E+12,2/1/18,800,2/2/18,1542,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F3,SOUTH PARK
2.018E+12,2/1/18,800,2/11/18,1210,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,R,R1,NORTH BEACON HILL
2.018E+13,2/1/18,800,7/22/18,1728,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D3,SLU/CASCADE
2.018E+12,2/1/18,822,2/1/18,822,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+12,2/1/18,900,2/5/18,1809,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,K,K2,PIONEER SQUARE
2.018E+13,2/1/18,900,4/12/18,1338,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL
2.018E+12,2/1/18,954,2/1/18,954,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NORTH BEACON HILL
2.018E+12,2/1/18,1004,2/1/18,1004,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L2,NORTHGATE
2.018E+12,2/1/18,1025,2/1/18,1035,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2.018E+12,2/1/18,1032,2/1/18,1032,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R2,MOUNT BAKER
2.018E+12,2/1/18,1045,2/1/18,1246,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,W,W1,ALKI
2.018E+12,2/1/18,1100,2/6/18,1151,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N2,NORTHGATE
2.018E+12,2/1/18,1115,2/1/18,1249,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+13,2/1/18,1127,2/3/18,2009,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S1,NEW HOLLY
