ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11638790,JC204322,1/2/2019 16:00,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRPORT EXTERIOR - NON-SECURE AREA,FALSE,FALSE,1651,16,41,76,6,,,2019,3/30/2019 16:05,,,
11554520,JC101539,1/1/2019 4:35,014XX W SUPERIOR ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1215,12,27,24,6,,,2019,1/10/2019 15:16,,,
11554513,JC101543,1/1/2019 22:55,038XX N OAKLEY AVE,880,THEFT,PURSE-SNATCHING,STREET,FALSE,FALSE,1921,19,47,5,6,,,2019,1/10/2019 15:16,,,
11560841,JC109642,1/3/2019 16:30,016XX N DAMEN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1434,14,2,24,6,,,2019,1/10/2019 15:16,,,
11574300,JC125364,1/12/2019 0:00,0000X W ILLINOIS ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,,,2019,2/17/2019 15:58,,,
11560837,JC108922,1/7/2019 17:30,031XX N LINCOLN AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1932,19,32,6,6,,,2019,1/18/2019 9:37,,,
11558588,JC107110,1/4/2019 13:20,012XX N Marion Ct,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1424,14,1,24,6,,,2019,1/18/2019 9:37,,,
11558592,JC107157,1/5/2019 14:25,012XX W MELROSE ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1924,19,44,6,6,,,2019,1/18/2019 9:37,,,
11560830,JC109150,1/8/2019 3:30,028XX N Racine Ave,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1933,19,32,6,6,,,2019,1/18/2019 9:37,,,
11561836,JC110470,1/9/2019 0:00,001XX S LARAMIE AVE,810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1533,15,28,25,6,,,2019,1/18/2019 9:37,,,
11561843,JC110749,1/8/2019 23:00,018XX N HUMBOLDT BLVD,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1421,14,1,22,6,,,2019,1/18/2019 9:37,,,
11563956,JC112480,1/4/2019 9:00,017XX W SUNNYSIDE AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1912,19,47,3,6,,,2019,1/18/2019 9:37,,,
11563957,JC112591,1/10/2019 15:15,056XX N MILWAUKEE AVE,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,1622,16,45,11,6,,,2019,1/18/2019 9:37,,,
