Year,Robbery Rates,Theft Rates,Arson Rates,Burglary Rates,,,,,
1995,61.5,55.2,32.4,39.5,,,,,
1996,59.8,61.3,28.2,38.9,,,,,
1997,56.9,65,35.7,40.5,,,,,
1998,62.4,58,39.8,42.6,,,,,
1999,63.3,58,42.5,43.4,,,,,
2000,62.8,57,28.8,39.4,,,,,
2001,62.3,57,29.3,39.5,,,,,
2002,61.9,55,22.2,40.7,,,,,
2003,65.1,61,46.3,38.7,,,,,
2004,62.4,61,56.7,44.5,,,,,
2005,64,55,47.8,42.5,,,,,
2006,62.8,56,67.3,39.32,,,,,
2007,60.4,61,87.4,30.88,,,,,
2008,62.2,54,36.5,43.5,,,,,
2009,66.2,62,65.6,37.9,,,,,
2010,69.9,58,43.4,43.8,,,,,
2011,73.3,54,47.6,43.1,,,,,
2012,73.4,54,49.8,48.3,,,,,
2013,74.8,56,52.8,49.23,,,,,\
2014,76.4,54,63.8,54.23,,,,,
2015,75.8,56,68.8,58.43,,,,,
